,from,cluster
0,0x0000000000234a48603574189845c2d27028dad3,0.0
1,0x000000000039d6d44ea4cbb58b5d2ad48ab10a1a,0.0
2,0x00000000005c632c479ebbfbdc39eabed452a0bd,0.0
3,0x00000000005e3325cca14fac1436b697ceefa107,0.0
4,0x000000000068e9a42cfc538af727b7c836adda58,0.0
5,0x0000000000868b9326e25db2e8042d633699c671,0.0
6,0x0000000000a451d3a6ce8b989c7298355befbb65,0.0
7,0x0000000000d911061ded3107b08962794f5244fa,0.0
8,0x0000000000efe06b0971f6e66baba6f21c113f4e,0.0
9,0x0000000000f0be7bb2084d68a34cc2ce29995033,0.0
10,0x0000000000fad7ef5dd8cbca1083f0bb08333a3d,0.0
11,0x00000000051cbce3fd04148cce2c0adc7c651829,1.0
12,0x000000007d905ab8199381328c3fb0a75754b6af,0.0
13,0x0000000a3287c5e5a7fb0668c00e819e6ad99cbb,0.0
14,0x0000003961e74d009a56449c0cdfc8a9b689a629,0.0
15,0x0000004639cd24879b8dd98d45405e7d79746a32,0.0
16,0x0000049348454fb7b682260f72011087923f6ed2,1.0
17,0x00000d339068e21dab77c26027a0a2e107188737,0.0
18,0x0000696b46988806036a69a5ca80c61a425a8fdb,1.0
19,0x00032b6993ba1276c206012d8af19dfba91d1406,0.0
20,0x0005470ba6f8a1b5fe3833b314e185b8e99b33b9,0.0
21,0x000631989ad80246d4e847a9687b4a2bf7d4ec4c,4.0
22,0x000649c572c97b9147674d739b51eaa0f1fe767c,0.0
23,0x00080000158a9930aeb508823103b0a977161c47,1.0
24,0x000b75fcdc15d41277deb033c72d2c8d774ccced,1.0
25,0x000dbf2733da51135c1b21c8ef71a3d474383f0d,1.0
26,0x000ec545ba208e20826c7b6413fc3ce407000b3c,1.0
27,0x000f38c11de32df3bfd065c37eec99a00a42546f,0.0
28,0x00146706a04e9548c77b79a15e628936db37e22a,0.0
29,0x00156599979bc9b621aaf0e9eb0c2f1356a8ea1b,2.0
30,0x00172e28ac5cc06c9aa0b9a81a0e244d7326344e,2.0
31,0x001987ad941510e3d78db1541ebddeec6ad5551f,0.0
32,0x001a181ab8c41045e26dd2245ffcc12818ea742f,0.0
33,0x001a61213d72f2f3c95ff743c80f472749ab8ad3,0.0
34,0x001bf00a08d4fc5d6d91246189db293f2043ba4e,0.0
35,0x001df7dab3ca0ba0fff616a4c92f5c5756cc8b77,0.0
36,0x001fd2ab86b5cf5a3892f60048c5cc30dfab081c,4.0
37,0x00203fd552af54a1eea20414d7388e992dfbbeb0,0.0
38,0x0023ed9f3dd137ee4a011933740ff9c3a000fba2,0.0
39,0x0024d477d2866448aa4a726c3e539d13c0b7284b,1.0
40,0x0026ea2d5186bbdfe48c40c7489bb0e42295d9aa,0.0
41,0x002ad2406d6d05e0c58e39af6eb506f762e9f7bb,1.0
42,0x002d63ab324d3e0ffc218bc53b7dd842e8a9f11f,1.0
43,0x003101c296bf425a22944acfc6643d9599130f67,0.0
44,0x00345bb8270bf08b561d0419000f2928e4b97194,0.0
45,0x0039601a879956887fb96b910c095b403d348009,0.0
46,0x003acf5489ca611d955db085002b0c7517964be7,0.0
47,0x003dcee2f22b21fb1ef51265eded59d509f0272b,0.0
48,0x003f35595dce3187b4fff2b5a2c4303f7158208a,0.0
49,0x00409fc839a2ec2e6d12305423d37cd011279c09,1.0
50,0x00415d436b8495d7f682a2f50e54d1e49d1d967a,0.0
51,0x00426582024158e33ed1af1548edf3b691716161,0.0
52,0x00427ed2c24a2604cd9830e7f30607dd138b8432,2.0
53,0x00448a760c87188d40f505e08d900a0b02c6e7a5,2.0
54,0x0045770bba2805e1631631e7ddc917ba9d4fc523,0.0
55,0x00536b6afc739656c2ea477da8cb036ca27d1243,0.0
56,0x0057d39e9a154fca84892721bc34c46689f810fd,1.0
57,0x0057d4a850e34bac84ed297f14ba146747b90272,0.0
58,0x00591f52956ce8f1c5fa456391dffed983d54777,3.0
59,0x005e8c66da4dceaec07d9a85becf9540cd62862a,0.0
